"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"VPS28",0.720013147086772,4.62937727980654,6.41372072314936,3.85275065546333e-07,0.00013000847948039,6.53983545689188
"TMEM151A",0.978809777827264,5.36171925460042,6.3978222055553,4.02895170192375e-07,0.00013000847948039,6.49675656071516
"APPL1",-0.798740869611178,5.91482984455168,-6.39114039818048,4.10541413495144e-07,0.00013000847948039,6.47707857515386
"CPNE6",0.912193629946869,5.87174136664578,6.38439488052056,4.18409269095186e-07,0.00013000847948039,6.46002758653291
"KCNH2",1.20862497732496,4.45424237267499,6.38383004641526,4.19074952171221e-07,0.00013000847948039,6.45857279286805
"SCAND1",1.44906085836953,3.24802879781532,6.3682151976829,4.37907457591413e-07,0.000132831928802729,6.36733187194901
"UBE3A",-0.754788775712755,6.24863631733432,-6.35061421020699,4.60162419988587e-07,0.000135958440086235,6.36802294739326
"HIST1H4C",1.52409363368755,4.56947120268738,6.34451704888538,4.68135288209014e-07,0.000135958440086235,6.35323056816854
"RAB21",-0.852080012379464,5.92297977910189,-6.32330705535132,4.96972892883669e-07,0.000141326666413793,6.29378084542155
"TRPM7",-0.808503327255501,5.98800448472226,-6.30533411280358,5.22809488015588e-07,0.0001456397859472,6.24518579181299
"SYVN1",0.74893889804075,5.32164090037973,6.27534567328952,5.68974137174163e-07,0.000155329939448547,6.166135948611
"TBK1",-0.748897841420874,3.80771295273969,-6.25967417314376,5.94714459900972e-07,0.000156346371852891,6.12511509300933
"ATP13A2",0.926595538261176,6.96710485162226,6.25914417822167,5.9560522610625e-07,0.000156346371852891,6.12309363035535
"SNX14",-0.858558098163328,5.12969148647973,-6.24824591829872,6.14223483008157e-07,0.000158191519680403,6.09180790355368
"ZNF644",-0.940666067314846,5.67283712425424,-6.2259886581972,6.54092144771847e-07,0.000163543349900589,6.03019707291462
"GNPTG",0.878945306631567,5.41686098164063,6.22336221668016,6.58965878720323e-07,0.000163543349900589,6.02548339402311
"NDUFB7",1.37830429113039,3.83359691317155,6.21690326911036,6.71107787597483e-07,0.000163582523226886,6.00386964619515
"TVP23B",-1.03937774971806,2.71192522183443,-6.19738042780762,7.09197686445903e-07,0.000169424371068557,5.92450618371624
"DDTL",1.286398049018,2.21941816965118,6.19208591810634,7.1989842651841e-07,0.000169424371068557,5.74501976183531
"FAM135A",-0.7398606355463,5.69020417332155,-6.15924441433182,7.90011237946476e-07,0.000182773786406261,5.84892077403542
"LAMTOR4",0.957403800592307,2.94281173449482,6.12726683386931,8.64896019101685e-07,0.000196763844345633,5.72688885188827
"PRDX5",1.13189387720279,4.52340289026021,6.11646725480789,8.91771104353558e-07,0.000199552058597149,5.74013756199986
"AP2A1",0.652386067998522,6.8638425721844,6.103674110319,9.24698913914613e-07,0.000202126335196021,5.70162413059977
"C16orf13",1.08301192178171,3.30265055605318,6.10056273547383,9.32890777827788e-07,0.000202126335196021,5.67868218807582
"FAM204A",-0.695198586451061,4.91238610884537,-6.07339510800092,1.00760095588918e-06,0.000207402597633459,5.61857468375235
"TOM1",0.653040668817244,4.84142259609138,6.06199050807503,1.04073387077389e-06,0.000207402597633459,5.59018588982406
"FBXO2",1.05616457990521,6.90564198407031,6.06000956300161,1.04659988715355e-06,0.000207402597633459,5.58360575223717
"PNPLA6",0.672084681906039,6.84682186566173,6.05753037812205,1.05398826658194e-06,0.000207402597633459,5.57626469439272
"VPS26A",-0.96380535572041,4.38191486356458,-6.05422192023127,1.06392995244963e-06,0.000207402597633459,5.57004503701816
"C19orf70",0.885215560094844,3.19255138745372,6.05359720015195,1.06581777182174e-06,0.000207402597633459,5.5532675186735
"PSMD4",0.604767419069699,5.13162419562594,6.05352012788052,1.06605090754536e-06,0.000207402597633459,5.56534225160116
"FAM96B",1.28013515718396,3.36308329653137,6.04933191439907,1.07879739428393e-06,0.000207402597633459,5.54327209604416
"RAB4B-EGLN2",1.48680395303216,3.04264243308102,6.03439753756683,1.12551213812542e-06,0.000207753997070005,5.47652329872802
"DYNLRB1",1.24663736540002,4.24780688330034,6.02443468469843,1.15780414438345e-06,0.000207753997070005,5.49251244426132
"SLC25A16",-0.792757156929524,4.837507029526,-6.02034911412148,1.17131484604555e-06,0.000207753997070005,5.47481208634293
"RHBDD2",1.06771330426517,5.50285051850815,6.01837466686727,1.17790102068493e-06,0.000207753997070005,5.4694862865676
"ATP11B",-0.98176737666674,4.87404029364736,-6.01425056472024,1.191778403833e-06,0.000207753997070005,5.45793257965994
"METTL25",-1.07603609451582,2.80804522965439,-6.01334807701362,1.19483712407337e-06,0.000207753997070005,5.44524787472352
"UFM1",-0.739652322731226,5.02950881783665,-6.01266725946528,1.19714978935639e-06,0.000207753997070005,5.45261369133331
"BLOC1S1",0.879485393035062,3.3503282210784,6.01113073945881,1.20238577058831e-06,0.000207753997070005,5.44727686497888
"FBXW5",1.04027263851022,6.21571153534814,5.9920001585357,1.26954144143544e-06,0.000216615508444922,5.39672623349962
"FARSA",0.650576187363074,4.78674886873209,5.98384367742416,1.29931076445757e-06,0.000218957925121554,5.37840878709871
"RPS6KC1",-0.80107284390299,6.01940279486272,-5.9748148128549,1.33308471977615e-06,0.000221909834450542,5.34685044770721
"UQCRQ",1.1265624198176,3.07540607896064,5.96583577673019,1.36754915790554e-06,0.000224904168739887,5.30766353196184
"ATP6V1F",0.86659476754115,4.56566864880486,5.95190909760687,1.42278802150511e-06,0.000231203053494581,5.29406062327457
"MAN2B2",0.802357909674356,5.50107512290797,5.93391938111325,1.49748173275268e-06,0.00024047794884793,5.23855589885978
"ROMO1",1.71889173491283,2.03705691474439,5.91669194091727,1.5727091222607e-06,0.000249621854870448,4.96519118851273
"GALNT9",1.34077515847619,5.29694629971861,5.90594902705115,1.62153459059e-06,0.000251559462466309,5.16555260436263
"CEP78",-0.721853771766011,5.28851447993056,-5.90589687736046,1.62177528916009e-06,0.000251559462466309,5.1598592168616
"ZC3H7A",-0.602921609066903,4.79809369965572,-5.88215176336603,1.73519368834126e-06,0.000263850765663701,5.09887731689845
"MSH3",-0.557434867817218,4.94757320509213,-5.88124586380379,1.73967537800242e-06,0.000263850765663701,5.09511474520155
"CNPY3",0.758301437315003,4.74431632162001,5.87296839070085,1.78116919696096e-06,0.000267175379544145,5.07779587934189
"ADIRF",1.77237884964463,3.53513266652429,5.86048344423413,1.84564613846774e-06,0.000272587559150349,5.03988788163822
"ZNF326",-0.916404462131185,5.56313878830192,-5.85142589353335,1.89388791486437e-06,0.000272587559150349,5.00989720128106
"PDCD2",-0.572528524134888,3.36212824401875,-5.8509092272901,1.89667768750314e-06,0.000272587559150349,5.02460364236487
"CTSD",1.01386293380041,7.18702016458579,5.85082561747612,1.89712953254822e-06,0.000272587559150349,5.01583262784822
"UQCRC1",0.710529165879182,5.19367194607517,5.84305312823994,1.93961014290737e-06,0.000275788317194641,4.99216292230018
"MAP3K2",-0.821946399160281,6.31110498080214,-5.83563943858179,1.9810211690577e-06,0.000278772566573583,4.96778710518882
"PEX14",0.740654882992473,4.14371031756546,5.81864302757165,2.07934700489396e-06,0.000283618280634996,4.9358218189744
"S100A1",1.37519563924686,5.0893348554312,5.8185187598305,2.08008369244878e-06,0.000283618280634996,4.92903075111464
"AP1B1",0.970333121651893,6.61400611991612,5.81683112136915,2.09011442648289e-06,0.000283618280634996,4.91992319118569
"CLPP",0.96398461783062,3.30681739632293,5.81492223923878,2.10151880082335e-06,0.000283618280634996,4.92245097867999
"NAP1L1",-0.946143857121232,7.16443752500502,-5.81195916689333,2.11934539375601e-06,0.000283618280634996,4.90954925579352
"NDUFA2",1.06494889050782,2.24878793012688,5.80286636216136,2.17500504190416e-06,0.000288240959436813,4.78401415134798
"TMSB10",1.3326208735577,5.14127552392371,5.79410836421486,2.23000474121707e-06,0.000292688122284741,4.86193971653935
"SLC38A9",-0.922002107387261,3.55734304575621,-5.79030753516098,2.25430685175064e-06,0.000293059890727583,4.86105819688387
"CNOT10",-0.673505193570447,3.70978282078977,-5.78383645305788,2.29629652374673e-06,0.000295702335369273,4.84262280250331
"CORO7",0.837319452111346,5.17951127002004,5.77769312818576,2.33688690540466e-06,0.000298116880923118,4.81430981004748
"BLOC1S3",1.89891844757334,2.22377423251938,5.7690611104573,2.3951425679821e-06,0.000300885564378101,4.61712050622099
"PCNXL4",-0.852657550130135,5.26995304494902,-5.76796029802261,2.40267593532696e-06,0.000300885564378101,4.78282457396751
"SENP6",-0.685403027808689,6.55484956597566,-5.7620487101439,2.44354097756149e-06,0.000303221221306494,4.76800890854792
"XYLT2",0.782310316967131,4.59398439839014,5.75412671887469,2.49940103933863e-06,0.000305594361279206,4.75582241073179
"GRAMD1A",0.621607712561267,5.3716200535885,5.75300118997654,2.50744091306015e-06,0.000305594361279206,4.74447355019836
"TP53I13",1.12238783426792,3.25419261139328,5.7473462719889,2.54823022295413e-06,0.000306764616752255,4.73820895969913
"SEC22A",-0.994137836589722,3.09650465316026,-5.74545912919584,2.56199020584301e-06,0.000306764616752255,4.73957018148587
"GALNT13",-1.10558852949373,5.05732502323315,-5.74040935777247,2.59917870410279e-06,0.000308511211400027,4.70914281627425
"ADGRA1",0.952963101455195,4.97325787133922,5.73121337676185,2.66830077491645e-06,0.000313798807385315,4.68984633958318
"VN1R1",-1.17737188310207,2.90966258971979,-5.72670045031195,2.70289521048078e-06,0.000313798807385315,4.68632252572635
"CHRNA4",0.951896417182679,4.66341813213266,5.72543285182913,2.71269298692067e-06,0.000313798807385315,4.67753325990147
"VPS51",0.811903668865261,5.59508322041021,5.71959962187816,2.75824240597347e-06,0.000316386628920486,4.65267750057678
"NKAIN2",-1.02885804612038,5.17806799303146,-5.7009865494489,2.90878748707924e-06,0.000328604773282957,4.6001716075102
"ZNF891",-1.17122681942198,4.87654855390596,-5.7004909598997,2.91290678148262e-06,0.000328604773282957,4.60173120580311
"PMVK",0.998258359600807,4.23615724912877,5.6929428459149,2.97637533745663e-06,0.000332806727735991,4.5948069381665
"AC007325.2",1.70052350526226,4.1752684191295,5.68907872958262,3.00940268927178e-06,0.000332806727735991,4.58793570230676
"MZT2A",1.10410807637868,4.2509866422943,5.68746558945249,3.02329921166761e-06,0.000332806727735991,4.58016241915456
"SPAG16",-0.713328801065401,4.35835766269855,-5.68224259809517,3.06873687274576e-06,0.000335106066503837,4.55851039292835
"RAB11B",0.871663694488567,6.26784865889915,5.67473440030146,3.13525935539506e-06,0.000339653096834465,4.52973200552009
"WDR18",0.873278862565175,3.08212626833942,5.6719001847668,3.16074537678789e-06,0.000339717908607517,4.53485083410942
"INIP",-0.713694801053674,4.26074200509636,-5.66549175251979,3.21914155732018e-06,0.000343291267636098,4.5142035200262
"SENP2",-0.681652245998745,5.61424003030315,-5.65508748980541,3.31626614876995e-06,0.000350907232021007,4.47196108004199
"NDUFB11",1.00487694902684,3.68338797960908,5.64051443510283,3.45727512632788e-06,0.000363013888264427,4.45789089313929
"USP12",-0.94383374090709,5.92747435861881,-5.63543846946991,3.50779127259527e-06,0.000365506495197904,4.41806029783703
"TAS2R14",-1.37455472402565,2.50025751925413,-5.62439799483526,3.62024035353195e-06,0.000374365763831144,4.39809730596314
"NME2",0.837024498980338,4.59154331661169,5.61222131919511,3.74846394990183e-06,0.000384241388461278,4.3691844148641
"ARHGDIA",0.826415948851283,6.2856104491891,5.61002801494104,3.77204000394221e-06,0.000384241388461278,4.35235741237542
"SRPK1",-0.596102401668201,4.50792739138681,-5.60290248914826,3.84966524052339e-06,0.000389243929875143,4.33985247484095
"RRAGD",-0.749498578984291,5.86256493935142,-5.58356250529608,4.06853321856906e-06,0.000408349106128439,4.27548362505429
"ZNF704",-0.74357613518428,7.46059353567396,-5.58084960984299,4.10021772076527e-06,0.00040852534225143,4.28130324949235
"PHOSPHO2",-1.11369390312624,1.04025899385766,-5.57266458602763,4.1973209804984e-06,0.000411020983119183,3.98314407008056
"PRMT1",0.592235319235752,5.21940614847893,5.57163635736594,4.2096814532558e-06,0.000411020983119183,4.24913623861779
"FEZF2",1.26433848792381,3.1972443706168,5.57103845393269,4.21688571798202e-06,0.000411020983119183,4.26614198747078
"SNRNP25",0.962629236875634,3.56398372992713,5.56865634862115,4.24571125419815e-06,0.000411020983119183,4.26453579082473
"ECH1",0.979451864667808,4.45625583982033,5.563469374351,4.30916400643088e-06,0.000414225976674518,4.23923152386879
"MIF",1.11812894334798,5.2400552667999,5.55335087807235,4.43569630689002e-06,0.000421281330126375,4.20192358848939
"DNAJC24",-0.85354588075702,3.08088311904447,-5.55158579992347,4.45814752868663e-06,0.000421281330126375,4.21873999743751
"TBC1D23",-0.680532432681814,4.43102100984816,-5.55025504422858,4.4751496606831e-06,0.000421281330126375,4.19701840440078
"TECR",0.761062782554332,5.16135489521477,5.54656302425372,4.52266139293719e-06,0.000422837863106799,4.18189554157281
"TRDMT1",-1.05009517626664,3.78258378140123,-5.54006584523292,4.60750427875779e-06,0.000427839683027509,4.18005867537606
"PMM1",0.660949947204428,4.18528410170241,5.52411257445661,4.82266458317548e-06,0.00044310738197842,4.13475778256726
"RPS11",1.20504528720455,6.09188749337268,5.52308602325014,4.83684981060693e-06,0.00044310738197842,4.11554198898626
"STX7",-0.59265829273782,6.21527366921351,-5.51231512359548,4.98823254528156e-06,0.000453929161620622,4.08108752813753
"RUVBL2",0.666719753564721,4.83391505325305,5.49748256842589,5.20450955082325e-06,0.000470473876614155,4.05125033738594
"SETDB2",-0.652285153983058,4.27103963125201,-5.4940686461336,5.25560554610153e-06,0.000471783278337497,4.0462446683355
"CPLX1",0.986987334107385,4.78298493449639,5.490909793957,5.30333186182716e-06,0.000471783278337497,4.03596891861674
"LRPAP1",0.534862533870843,5.84927657020129,5.48963710892345,5.32268314021792e-06,0.000471783278337497,4.02046161378296
"SPCS3",-1.06864332897192,5.59086593257253,-5.48075474191994,5.45972607886014e-06,0.000476397658532762,3.99378956351353
"ABHD13",-1.01026955874024,4.1701781987129,-5.48032333526548,5.466471460302e-06,0.000476397658532762,4.0101929472245
"FRA10AC1",-0.766150457875928,4.17209567087649,-5.47949506171545,5.47944559631089e-06,0.000476397658532762,4.00809257086121
"AP3S1",-0.881528487179668,3.81682499969836,-5.46987447953672,5.63242406224789e-06,0.000486598661073947,3.98854545045447
"ERGIC2",-0.875436672390507,4.73095596313217,-5.4634534295429,5.73690152474561e-06,0.000491799491319838,3.95450138905353
"CSTB",0.97209121556719,2.46601461387345,5.46176576092078,5.76468268213729e-06,0.000491799491319838,3.93973275864566
"CFL1",0.972042688645655,6.32228368968525,5.43841948434062,6.16311902351388e-06,0.000522525308515308,3.88278320131868
"NDUFA11",1.0528694140022,4.18423306510519,5.43269991772356,6.26486960474475e-06,0.000524307963848581,3.88867524930931
"NR1D1",1.12610222209919,5.12375410280877,5.43091804027319,6.29691167827848e-06,0.000524307963848581,3.86801367048643
"TFAM",-0.75607584540507,3.75199786734412,-5.43078127831811,6.29937773415145e-06,0.000524307963848581,3.88359968961298
"GAS6",0.63650102324382,5.78074869918943,5.42836788013714,6.34305507417345e-06,0.000524743647045258,3.8528951507152
"CYSTM1",0.76364766807889,3.54285493093893,5.42551864329105,6.39501094610735e-06,0.000525854815749188,3.87827554893051
"CEND1",1.05741534592867,5.69916294422028,5.41603003600189,6.57113021787835e-06,0.000534275276035736,3.82167799822511
"KMT5B",-0.663353157986636,5.60910542541183,-5.41578746773024,6.57569570505522e-06,0.000534275276035736,3.8150608262641
"LINGO1",1.51465521030205,6.63575680503934,5.40626436869063,6.75746827789491e-06,0.000543850346329694,3.79825005656487
"BAX",0.982577984587095,2.73735478626596,5.40545085245963,6.77322775648703e-06,0.000543850346329694,3.81260470860162
"RMND5A",-0.929928102435027,6.78514192125592,-5.4012394929503,6.85540102162553e-06,0.000547229379796424,3.78189418091184
"XAB2",0.750189739402643,5.06997107334502,5.39890303360872,6.90142067011377e-06,0.000547699954343331,3.77857938106432
"NDUFA1",1.23895071467312,2.60122647958399,5.39334348048266,7.01217152904785e-06,0.000553272493476897,3.76398878768424
"POLD2",0.823823623756023,4.3630950259869,5.39073160802999,7.06481510847827e-06,0.00055340130868139,3.76888526509642
"ADAM10",-0.600295775567687,6.14596745848293,-5.38650251240481,7.15089537394126e-06,0.00055340130868139,3.73519375792357
"RICTOR",-0.892097214372886,6.85377640640405,-5.38637196980127,7.1535691259981e-06,0.00055340130868139,3.74193984112145
"LIMK1",0.982402692122895,6.3344853765428,5.38528004448356,7.17597301367077e-06,0.00055340130868139,3.73692483262654
"EIF6",0.817751198408674,3.65706921810195,5.38145680123252,7.25497277188804e-06,0.000556350440091414,3.75794879009114
"DYNC2H1",-0.621374839830457,6.73464690061603,-5.37573336721018,7.37486724796e-06,0.000562385128126559,3.7110765018307
"ZNF124",-1.00095030264836,3.34376544043294,-5.36467748732185,7.61211349139615e-06,0.000577251939764208,3.71202433009331
"AP4E1",-0.797993884428729,3.5549508192935,-5.3564512490955,7.79358461231772e-06,0.000587748231812911,3.68567021769196
"HBS1L",-0.659481234416638,5.46451391535564,-5.3515153195816,7.90454431981061e-06,0.000592840823985796,3.63918268858335
"FAM208A",-0.613533927484646,6.33802207336483,-5.34792438958721,7.98626112207186e-06,0.000595696526318475,3.63058837027943
"SEC63",-0.729799168565439,5.56941090667155,-5.33189849472055,8.36138776510057e-06,0.0006196245560569,3.58474746595215
"OCIAD1",-0.831546974961296,5.35525291535867,-5.32802298165213,8.45472183900599e-06,0.0006196245560569,3.57538766590645
"DCUN1D1",-0.794224146901101,5.40107998267641,-5.3277945206157,8.46025630967437e-06,0.0006196245560569,3.57441534096561
"TUBG2",0.834576822684202,5.88741391486002,5.32662563163024,8.48862944927767e-06,0.0006196245560569,3.57463388445048
"ZNF277",-0.725610412411319,3.26954244780559,-5.31607859923488,8.74898977826654e-06,0.000635232502517757,3.58209647173763
"ZNF706",-0.835242813416108,6.06753792092776,-5.31006044754887,8.90111775740948e-06,0.000642104395391428,3.52492579832488
"CHCHD2",0.792339884180668,4.97641786814715,5.30862795818891,8.93771685892831e-06,0.000642104395391428,3.53286686818432
"CEP70",-0.661296868998619,4.57307976551144,-5.30126210809281,9.12830089465022e-06,0.000650333632180896,3.51318616263519
"TIA1",-0.778235045191099,4.95540070772342,-5.29969114551356,9.16947125530242e-06,0.000650333632180896,3.50224708980063
"NT5C3A",-0.886165399460823,2.2936170753407,-5.29867723439912,9.19614152805084e-06,0.000650333632180896,3.5276699888054
"KIAA1211",0.780247189466245,4.2802837665985,5.29669743648691,9.24844280295405e-06,0.000650333632180896,3.51405829424714
"PMS1",-0.725674445648384,3.98418792158777,-5.29192168279427,9.37583445841641e-06,0.000650333632180896,3.50034166341131
"CRAT",0.875804268249613,5.33234353285237,5.29132783565954,9.39179738435238e-06,0.000650333632180896,3.48123336905077
"GK5",-0.851752647343034,4.56968496580901,-5.29037969725811,9.41734023620895e-06,0.000650333632180896,3.48320138998873
"GLUD2",0.697076435506259,4.58851676497715,5.2897844787406,9.43341092833827e-06,0.000650333632180896,3.48797168706977
"CDH4",1.01102110390265,5.73870046306393,5.28461257468969,9.57421068156532e-06,0.00065672349649933,3.46085721299091
"VPS50",-0.846998800751167,4.85004013502435,-5.27938287018692,9.71872212517095e-06,0.000660270862992383,3.44810947829465
"GSTP1",1.06620196726825,5.61099339658621,5.27626664771665,9.8058676085792e-06,0.000660270862992383,3.43912317605205
"PANK3",-0.741363353788398,6.85965544003523,-5.27530243609498,9.83298992661795e-06,0.000660270862992383,3.4373597401426
"PC",0.908069383064147,6.39881898019758,5.27481678010975,9.84667935603335e-06,0.000660270862992383,3.43385744806132
"ZNF574",0.784876446603619,3.69179304764649,5.27406936693586,9.86778432604001e-06,0.000660270862992383,3.46649711728183
"NUBP2",0.985475008015335,3.54910403440922,5.26667925325056,1.00789128911404e-05,0.000669834979824786,3.45089957661298
"BLZF1",-0.816143880672207,4.11249244641685,-5.26347256866266,1.01719250015879e-05,0.000669834979824786,3.41948265508562
"TUBG1",0.723622889714175,3.62540904702913,5.25931479840545,1.02938035175769e-05,0.000669834979824786,3.42770453985146
"ZNF781",-1.02185387890509,3.14746123482292,-5.2580009347863,1.03326202656465e-05,0.000669834979824786,3.42731873930296
"GPS1",0.596667076103477,5.44032744451179,5.25707448505559,1.03600792522879e-05,0.000669834979824786,3.38443999972839
"RWDD4",-0.781986771273831,1.72302998866907,-5.25338301542932,1.04702172133504e-05,0.000669834979824786,3.35315000274715
"PWWP2A",-0.795314422923019,4.62328322979869,-5.25319063480914,1.04759890423734e-05,0.000669834979824786,3.38036653939969
"THAP4",0.822563330156997,4.7505541352497,5.25099608369332,1.05420558919683e-05,0.000669834979824786,3.37928828644987
"NDUFB5",-0.840686165975466,4.13653214261882,-5.25085481844373,1.05463229225985e-05,0.000669834979824786,3.38441412687509
"ZRANB1",-0.578606114657785,5.92191993341633,-5.24949296739626,1.05875474282544e-05,0.000669834979824786,3.35794552840483
"ATP5I",1.11685759492083,2.59251665772915,5.24934227965706,1.05921187785757e-05,0.000669834979824786,3.39043221322324
"SOS2",-0.632817895758666,5.87609723037366,-5.24826001549474,1.06250090227622e-05,0.000669834979824786,3.35447851788327
"C19orf60",0.994185083132826,4.10601269861746,5.24748388550064,1.06486586536248e-05,0.000669834979824786,3.38611419940162
"C12orf57",1.10151000026748,3.71099275948298,5.24468203490688,1.07344733916186e-05,0.000672135604566945,3.38870439241116
"PDCD4",-0.735188814597406,4.88719959402564,-5.23938083095152,1.0898734720787e-05,0.00067930469835042,3.33792536606771
"CCDC82",-0.913942063022548,5.76841682525842,-5.23446662686627,1.10532488178696e-05,0.00068068803176031,3.31672736974052
"SDHC",-0.63586623796084,6.60565899564941,-5.23350693652863,1.10836784291965e-05,0.00068068803176031,3.31929594905829
"PFKL",0.872895694192791,7.14130521804001,5.23246066291158,1.11169488539143e-05,0.00068068803176031,3.32432841128967
"CEP57L1",-0.946572755337601,3.24695145783215,-5.23235237858516,1.11203978815054e-05,0.00068068803176031,3.35614946441653
"PUF60",0.616786786611394,5.62000577292193,5.2297289329322,1.12042865555565e-05,0.000681285571338679,3.30824728393152
"G6PD",0.844086342830766,4.49905854032745,5.22892929073633,1.12299819451431e-05,0.000681285571338679,3.32451385057046
"ZNF586",-0.83021750892933,4.61288006136411,-5.22226398445516,1.14464676157153e-05,0.000691346384754488,3.29583381151819
"UBL5",1.49396055693057,2.69242903396674,5.21578818556042,1.16607937176383e-05,0.000696981784335959,3.29870476599323
"MYEOV2",0.7834936875943,3.21642256728108,5.21576960589919,1.16614143754247e-05,0.000696981784335959,3.31721288906305
"KAT5",0.598653289823871,4.72586711599415,5.21482673849195,1.16929544771381e-05,0.000696981784335959,3.27921461564605
"LGALS1",1.2073406138266,4.69031036044914,5.20699101930817,1.19583902501946e-05,0.000709704464848509,3.2634007126754
"SLC35F5",-0.77207107552951,5.326211151867,-5.19938532743135,1.22217932340608e-05,0.000714662742634328,3.22240902603139
"GLMN",-1.07623992057226,1.89860271747777,-5.19865759151661,1.22472984422678e-05,0.000714662742634328,3.23594629133388
"CCDC138",-1.05924105488658,3.716304676542,-5.19806144957324,1.22682312678466e-05,0.000714662742634328,3.25128926787266
"RPS18",1.1288324239896,5.3223445161376,5.1977661938864,1.22786120634617e-05,0.000714662742634328,3.2268666405089
"LINC00634",1.444018559365,3.62221689037955,5.19558168911733,1.23556896044534e-05,0.000714662742634328,3.26058445580276
"COMT",0.978873014330422,5.07270247899239,5.19557083475628,1.2356073792066e-05,0.000714662742634328,3.22309466310344
"THAP5",-0.892557731223202,4.10320846129535,-5.17808501907341,1.29907435772303e-05,0.000746230980537291,3.18656168041818
"TBC1D32",-0.797617002778215,3.97301505719257,-5.17470970186476,1.31169556186779e-05,0.000746230980537291,3.18088396197364
"NUDCD1",-0.959638178131838,3.70590841658175,-5.17459767778632,1.31211654386458e-05,0.000746230980537291,3.18778055201163
"GPX4",0.666392239694966,5.19815692872355,5.17453335224384,1.31235833769332e-05,0.000746230980537291,3.1612983977319
"ORC2",-0.872449887199648,4.40364005122674,-5.17316262698755,1.31752136490467e-05,0.000746230980537291,3.16587236374058
"FAM188A",-0.891393550137357,4.69781117864587,-5.16911566464063,1.33288353713679e-05,0.000748977563045418,3.14854919620861
"TRIQK",-0.894219685119293,3.8603699102694,-5.16628759740467,1.3437249255942e-05,0.000748977563045418,3.1609169279454
"GGA1",0.73710422821346,5.40327274071548,5.1653622971336,1.34729115687176e-05,0.000748977563045418,3.13415779678026
"PRDX2",0.731988918456213,5.80837730652718,5.16530447754242,1.347514314994e-05,0.000748977563045418,3.13160008832364
"APEH",0.517294651032531,5.23312599008201,5.16471133484384,1.34980571801592e-05,0.000748977563045418,3.13286453784291
"LRP1",0.791370083134576,10.2816744089082,5.15699949014853,1.37995455051832e-05,0.000756486006993288,3.15946149873256
"RPL41",2.10314678306746,3.80066290365561,5.15658586352632,1.38159046770741e-05,0.000756486006993288,3.15771776164026
"FAM104A",-0.5466605211643,3.9513858715715,-5.15637186964101,1.38243758623996e-05,0.000756486006993288,3.13207121061037
"POLR2I",1.06885723684219,2.96259644495218,5.15559796508646,1.38550550731371e-05,0.000756486006993288,3.15675935564323
"LPAR5",1.29066033540792,2.72793036562369,5.15144543421572,1.40208355258003e-05,0.000762487669032565,3.13623047941531
"UBXN4",-0.650517102915191,5.87243549753252,-5.14658692760131,1.42173177345375e-05,0.000767136131897303,3.07524322602492
"CLIP3",0.694442826139723,7.40676304502519,5.14652596114247,1.42198006646849e-05,0.000767136131897303,3.09247950500957
"D2HGDH",1.07267130286131,4.2445817406346,5.14517542339835,1.42749141027044e-05,0.000767136131897303,3.10516286170141
"PSMC3",0.610583537940527,4.79822204007405,5.12265316892145,1.52261056788527e-05,0.000815044480456233,3.02552580862066
"TMEM115",0.616823650777305,3.9903686588456,5.11866981959237,1.54008067178411e-05,0.000821175826947386,3.03570884659327
"ACAA1",0.586601257249485,4.85388490499196,5.1140107345899,1.56076854664065e-05,0.000825699709984117,3.00079160050371
"CKB",1.07771717606684,7.23030006454777,5.11395307956521,1.56102628457237e-05,0.000825699709984117,3.00145310139808
"IGSF21",1.06005244866547,4.7566585492698,5.11226479579247,1.56859237019594e-05,0.000825699709984117,3.00178105283358
"FAM107B",-1.19825801959908,6.09843229864489,-5.11133800732823,1.5727613523507e-05,0.000825699709984117,2.98013139322888
"C21orf33",0.723959827136681,4.33212448212328,5.10539487641531,1.59975960706824e-05,0.000831961662413775,2.99079372791074
"HDAC8",-0.736566322278074,3.3669517875276,-5.10497055008609,1.60170482779883e-05,0.000831961662413775,3.0088598671785
"CDYL",0.665682521948245,4.76312201120513,5.10219234410039,1.61449931544155e-05,0.000831961662413775,2.97082221254569
"MRPS26",0.778779828091416,3.31912255879855,5.10166259610925,1.61695052544244e-05,0.000831961662413775,3.00961616681627
"PPDPF",1.34855040591325,4.70327282054846,5.10125847053064,1.61882296296526e-05,0.000831961662413775,2.97581558492618
"G2E3",-0.941022782880707,3.82731030236314,-5.10073348296431,1.62125862419095e-05,0.000831961662413775,2.98340296547415
"SOS1",-0.756323654107421,6.13310336572073,-5.09938239665676,1.62754377866818e-05,0.000832058898083172,2.94673559413507
"KIAA2013",0.797959062086462,4.93130530386675,5.09719523976993,1.6377698760252e-05,0.000834162642079998,2.95485683271031
"VARS",0.584548467783591,5.06943832943895,5.08988088249701,1.67243652993407e-05,0.000848652737308554,2.93084632241135
"FAM13B",-0.623317703405996,6.01934486374942,-5.08836194300625,1.67972694147688e-05,0.000849195287079976,2.9158347408465
"NOL9",-0.492046159480381,5.47151830272251,-5.08606811905534,1.69079671571392e-05,0.000851637460128968,2.910454303183
"CCDC91",-0.666552501358363,4.87545211061674,-5.07992951852214,1.72078052095555e-05,0.000863553459964824,2.90119155854855
